label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
2084,36.0814316,140.0802754,7.265310,2,2,0,0,1,-1
2085,36.0814671,140.080281,2.867229,2,2,0,0,1,-1
2086,36.0815026,140.0802832,1.966874,2,2,0,0,1,-1
2087,36.0815379,140.0802847,2.228874,2,2,0,0,1,-1
2088,36.0815732,140.0802864,358.575517,2,2,0,0,1,-1
2089,36.0816122,140.0802852,3.616826,2,2,0,0,1,-1
2090,36.081648,140.080288,326.709293,2,2,0,0,1,-1
2091,36.0816496,140.0802867,312.920808,2,2,0,0,1,-1
2092,36.0816617,140.0802706,325.746505,2,2,0,0,1,-1
2093,36.0816725,140.0802615,313.845791,2,2,0,0,1,-1
2094,36.0816895,140.0802396,333.368081,2,2,0,0,1,-1
2095,36.0817227,140.080219,352.432507,2,2,0,0,1,-1
2096,36.0817592,140.080213,18.660384,2,2,0,0,1,-1
2097,36.0817939,140.0802275,65.876969,2,2,0,0,1,-1
2098,36.0818091,140.0802695,62.993009,2,2,0,0,1,-1
2099,36.0818257,140.0803098,52.315635,2,2,0,0,1,-1
2100,36.0818473,140.0803444,62.334340,2,2,0,0,1,-1
2101,36.0818634,140.0803824,82.241329,2,2,0,0,1,-1
2102,36.0818683,140.0804269,81.681817,2,2,0,0,1,-1
2103,36.0818737,140.0804726,89.999987,2,2,0,0,1,-1
2104,36.0818737,140.0805166,91.946016,2,2,0,0,1,-1
2105,36.0818725,140.0805603,89.845867,2,2,0,0,1,-1
2106,36.0818726,140.0806063,99.217364,2,2,0,0,1,-1
2107,36.081867,140.080649,84.587239,2,2,0,0,1,-1
2108,36.0818704,140.0806934,84.677364,2,2,0,0,1,-1
2109,36.0818736,140.0807359,77.387894,2,2,0,0,1,-1
2110,36.0818819,140.0807818,73.122731,2,2,0,0,1,-1
2111,36.0818921,140.0808234,72.925927,2,2,0,0,1,-1
2112,36.0819026,140.0808657,74.300101,2,2,0,0,1,-1
2113,36.0819123,140.0809084,60.956547,2,2,0,0,1,-1
2114,36.0819307,140.0809494,40.909822,2,2,0,0,1,-1
2115,36.0819584,140.0809791,23.499770,2,2,0,0,1,-1
2116,36.0819926,140.0809975,17.034155,2,2,0,0,1,-1
2117,36.0820261,140.0810102,12.568249,2,2,0,0,1,-1
2118,36.0820348,140.0810126,310.897457,2,2,0,0,1,-1
2119,36.0820355,140.0810116,310.897457,2,2,0,0,1,-1
